Adj Close,SMA_14,EMA_14,RSI,BB_upper,BB_middle,BB_lower,USD_JPY,VIX,Gold,Oil,Monthly_Return
-0.7629850031721013,-0.8677128598585131,-0.8658222120520288,0.15115781855842525,-0.8586391153322879,-0.8713639793258552,-0.8720078241857528,-0.24324720804806566,-0.6048946480356442,-0.9925001973451586,-0.7629850031721013,-0.1361961682959291
-0.7589173850332266,-0.8661753318497355,-0.8647924049194298,0.21798076125003885,-0.8591429830860364,-0.8709085806025191,-0.8706501918670982,-0.23330579743885682,-0.581781110109807,-0.9925791474547004,-0.7589173850332266,-0.08548746395645532
-0.750469310141023,-0.8645580047326524,-0.8639098599047267,0.21512060526316645,-0.8591764320357683,-0.8701784319376877,-0.8692040770065642,-0.24058000934758983,-0.5711760964178061,-0.9927370476737839,-0.750469310141023,-0.1422031291897514
-0.7521902209167587,-0.864345216519192,-0.8641610487183679,-0.0498582229140101,-0.8584239324255029,-0.8696929288874372,-0.8689734133572606,-0.23645785727083135,-0.5507818074006603,-0.9921844209991825,-0.7521902209167587,-0.3146717411272787
-0.7418648159415923,-0.8643239360849283,-0.8645480627922736,-0.08891259809352792,-0.8558073311656638,-0.8688611740187374,-0.8698305812231149,-0.22797140003790517,-0.5089055090567484,-0.9915528683072301,-0.7418648159415923,-0.1701798594166492
-0.7396745875649278,-0.8649889642727411,-0.8659692591751595,-0.3098065311962659,-0.8561454826471679,-0.8689740862821809,-0.8697303111256877,-0.2219096184442586,-0.472739638607624,-0.9925791474547004,-0.7396745875649278,-0.33156662313928065
-0.7343554359304937,-0.8656752567656396,-0.8675396346604982,-0.36912518324713606,-0.8571028224385093,-0.869290228068627,-0.8694396097901869,-0.2289413072917954,-0.4583277075626708,-0.9927370476737839,-0.7343554359304937,-0.20158032794091973
-0.7277847508005002,-0.8651964399381876,-0.8677650549614753,-0.08305298798932714,-0.8554982016840317,-0.868763320336976,-0.8699326450085862,-0.21390802234283024,-0.5195105746141084,-0.9922633711087242,-0.7277847508005002,0.0659211016926115
-0.7160513333432998,-0.8647070060792973,-0.8678209731707542,-0.0516883439996727,-0.8532768242676637,-0.8681235131783311,-0.8707888189729227,-0.19935978351625705,-0.537457544799968,-0.9921054708896406,-0.7160513333432998,-0.11579838821519639
-0.7246558275427306,-0.8650315493350357,-0.8685667262755739,-0.1909331736459432,-0.853851216888944,-0.8683568712748755,-0.8706990190031987,-0.1974201539993694,-0.5673691790648537,-0.9915528683072301,-0.7246558275427306,-0.2636141375023851
-0.7160513333432998,-0.8656939141923262,-0.869447114173244,-0.2348432954966968,-0.8547808981445296,-0.8687501715337438,-0.8705838949518613,-0.19887492238475835,-0.5738953453264973,-0.9916317943245809,-0.7160513333432998,-0.18248347221188294
-0.72199622188589,-0.8671010942488512,-0.8708326904115757,-0.3455989382091671,-0.8566200964209683,-0.86945396982004,-0.870212252907507,-0.17680994858825638,-0.5026512728725099,-0.9911581418517121,-0.72199622188589,-0.25277224528527553
-0.7230913360742222,-0.8683087604054347,-0.8718143806992269,-0.28607350797607745,-0.8578505856463957,-0.8699620536114525,-0.8700357149685771,-0.17123321311700135,-0.5246770904887268,-0.9916317943245809,-0.7230913360742222,-0.10040375152094158
-0.7191801969218221,-0.8701069863348647,-0.8736961737460327,-0.4555766420724845,-0.8600201277216989,-0.8704644979226632,-0.86896232309458,-0.16541376959365772,-0.49503743816660517,-0.9911581418517121,-0.7191801969218221,-0.32816541514101993
-0.8654568370291349,-0.8816037938697721,-0.8852135852531081,-0.440557929382529,-0.8723287956447185,-0.8836709838807135,-0.8829356580317382,-0.11813194715957165,-0.4420122659758823,-0.9853161710362934,-0.8654568370291349,-0.08605891181192174
-0.8634230279596976,-0.8819450832446005,-0.8855642976569418,-0.17908881751745565,-0.8728954434197689,-0.8840930677384571,-0.8832187938275594,-0.10140137076402134,-0.49938821567436753,-0.9853161710362934,-0.8634230279596976,0.09507018393054004
